ch,1,2,3,4,5,6,7,8,9,10,11,12,13,14
1,-11,-11,-11,-11,-11,-11,-11,-11,-11,-11,-11,-11,-11,-11
2,-11,-11,-11,-11,-11,-11,-11,-11,-11,-11,-11,-11,-11,-11
5.5,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10
11,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10
6,-10,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-8
9,-10,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-8
12,-10,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-8
18,-10,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-8
24,-10,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-8
36,-10,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8
48,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10
54,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10
MCS0,-10,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-8
MCS1,-10,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-8
MCS2,-10,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-8
MCS3,-10,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-8
MCS4,-10,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8
MCS5,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10
MCS6,-13,-13,-13,-13,-13,-13,-13,-13,-13,-13,-13,-13,-13,-13
MCS7,-13,-13,-13,-13,-13,-13,-13,-13,-13,-13,-13,-13,-13,-13
