ch,1,2,3,4,5,6,7,8,9,10,11,12,13,14
1,-13,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12
2,-13,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12
5.5,-13,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-11.5,-12
11,-13,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-11.5,-12
6,-14,-8,-8,-8,-8,-8,-8,-8,-8,-8,-10,-8,-11,-30
9,-14,-8,-8,-8,-8,-8,-8,-8,-8,-8,-10,-8,-11,-30
12,-14,-8,-8,-8,-8,-8,-8,-8,-8,-8,-10,-8,-11,-30
18,-14,-8,-8,-8,-8,-8,-8,-8,-8,-8,-10,-8,-11,-30
24,-14,-8,-8,-8,-8,-8,-8,-8,-8,-8,-10,-8,-11,-30
36,-14,-8,-8,-8,-8,-8,-8,-8,-8,-8,-10,-8,-11,-30
48,-14,-8,-8,-8,-8,-8,-8,-8,-8,-8,-10,-8,-11,-30
54,-14,-9,-9,-9,-9,-9,-9,-9,-9,-9,-10,-9,-11,-30
MCS0,-15,-8,-8,-8,-8,-8,-8,-8,-8,-8,-11,-8,-11,-30
MCS1,-15,-8,-8,-8,-8,-8,-8,-8,-8,-8,-11,-8,-11,-30
MCS2,-15,-8,-8,-8,-8,-8,-8,-8,-8,-8,-11,-8,-11,-30
MCS3,-15,-8,-8,-8,-8,-8,-8,-8,-8,-8,-11,-8,-11,-30
MCS4,-15,-8,-8,-8,-8,-8,-8,-8,-8,-8,-11,-8,-11,-30
MCS5,-15,-8,-8,-8,-8,-8,-8,-8,-8,-8,-11,-8,-11,-30
MCS6,-15,-8,-8,-8,-8,-8,-8,-8,-8,-8,-11,-8,-11,-30
MCS7,-15,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-30
1e9c,0,,,,,,,,,,,,,
1edc,0,,,,,,,,,,,,,
